Title,Partner,Description,Rating_Reviews,Details,URL,Page
Google AI,Google,,1K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-ai,1
Google AI Essentials,Google,,20K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-essentials-google,1
Google Data Analytics,Google,"Skills you'll gain: Data Storytelling, Rmarkdown, Data Literacy, Data Visualization, Data Presentation, Data Ethics, Data Cleansing, Data Validation, Ggplot2, R (Software), Tableau Software, Sampling (Statistics), Presentations, Spreadsheet Software, Data Analysis, LinkedIn, Object Oriented Programming (OOP), Data Structures, Interviewing Skills, Applicant Tracking Systems",178K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-data-analytics,1
Google Project Management,Google,"Skills you'll gain: Quality Management, Project Closure, Scope Management, Team Management, Sprint Retrospectives, Project Management, Project Planning, Agile Project Management, Quality Assurance, Backlogs, Team Leadership, Project Scoping, Project Management Life Cycle, Stakeholder Analysis, Project Controls, Project Risk Management, Project Implementation, Change Management, Interviewing Skills, Applicant Tracking Systems",141K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-project-management,1
Google Cybersecurity,Google,"Skills you'll gain: Threat Modeling, Network Security, Threat Management, Vulnerability Management, Intrusion Detection and Prevention, Hardening, Computer Security Incident Management, Security Management, Cyber Threat Intelligence, Cyber Attacks, Incident Response, Cybersecurity, Network Protocols, Threat Detection, Bash (Scripting Language), Debugging, Linux, Interviewing Skills, Python Programming, SQL",65K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-cybersecurity,1
Google IT Support,Google,"Skills you'll gain: IT Security Architecture, Computer Networking, Operating System Administration, Package and Software Management, Network Troubleshooting, Version Control, IT Automation, Systems Administration, IT Infrastructure, TCP/IP, Git (Version Control System), Chef (Configuration Management Tool), Network Security, Ruby (Programming Language), File Systems, Microsoft Windows, Computer Hardware, Technical Support, Interviewing Skills, Applicant Tracking Systems",212K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-it-support,1
Google Digital Marketing & E-commerce,Google,"Skills you'll gain: Data Storytelling, Media Planning, Social Media Marketing, Google Ads, Email Marketing, Social Media Strategy, Order Fulfillment, Social Media Management, Online Advertising, Search Engine Optimization, Performance Measurement, Spreadsheet Software, A/B Testing, Client Services, Campaign Management, E-Commerce, Loyalty Programs, Marketing, Interviewing Skills, Applicant Tracking Systems",48K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,1
Google UX Design,Google,"Skills you'll gain: Responsive Web Design, Storyboarding, Wireframing, User Experience Design, UI/UX Research, User Experience, Usability Testing, Information Architecture, Presentations, Web Design, User Research, Design Thinking, Figma (Design Software), Design Reviews, Web Content Accessibility Guidelines, Mobile Development, User Story, Persona (User Experience), Interviewing Skills, Applicant Tracking Systems",98K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-ux-design,1
AI For Everyone,DeepLearning.AI,,52K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ai-for-everyone,1
Google Prompting Essentials,Google,"Skills you'll gain: Data Visualization, Generative AI, Oral Expression, Large Language Modeling, Ideation, Artificial Intelligence, Scenario Testing, Business Correspondence, Productivity, Complex Problem Solving, Report Writing, Organizational Skills, Solution Design, Document Management, Critical Thinking, Software Versioning, Context Management, Machine Learning",6.6K reviews,Beginner · Specialization · 1 - 4 Weeks,https://www.coursera.org/specializations/prompting-essentials-google,1
Machine Learning,Multiple educators,,38K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/machine-learning-introduction,1
AI Fundamentals,Google,,535 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/google-ai-fundamentals,1
IBM Generative AI Engineering,IBM,,99K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,2
Google Advanced Data Analytics,Google,"Skills you'll gain: Data Storytelling, Data Visualization, A/B Testing, Sampling (Statistics), Data Analysis, Exploratory Data Analysis, Regression Analysis, Data Visualization Software, Data Presentation, Data Ethics, Feature Engineering, Statistical Hypothesis Testing, Statistics, Statistical Analysis, Data Science, Tableau Software, Machine Learning, Object Oriented Programming (OOP), Interviewing Skills, Python Programming",10K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,2
Google IT Automation with Python,Google,"Skills you'll gain: Git (Version Control System), GitHub, Version Control, Infrastructure as Code (IaC), Debugging, Bash (Scripting Language), Test Automation, Puppet (Configuration Management Tool), Infrastructure As A Service (IaaS), Cloud Services, Technical Communication, Web Services, Email Automation, Automation, Python Programming, Interviewing Skills, Applicant Tracking Systems, Configuration Management, Program Development, Programming Principles",53K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-it-automation,2
IBM AI Developer,IBM,,81K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,2
IBM Data Analyst,IBM,,98K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-analyst,2
AI in Healthcare,Stanford University,,2.5K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-healthcare,2
IBM AI Product Manager,IBM,,35K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-ai-product-manager,2
IBM Data Science,IBM,,150K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-science,2
Google Business Intelligence,Google,"Skills you'll gain: Data Modeling, Stakeholder Engagement, Database Design, Dashboard, Business Intelligence, Extract, Transform, Load, Tableau Software, Data Warehousing, Data Pipelines, Interactive Data Visualization, Business Reporting, Data-Driven Decision-Making, Data Visualization, Interviewing Skills, Applicant Tracking Systems, Business Process, AI Enablement, Business Analysis, Data Analysis, SQL",7.5K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-business-intelligence,2
Introduction to AI,Google,,11K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/google-introduction-to-ai,2
Deep Learning,DeepLearning.AI,,147K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/deep-learning,2
AI Foundations for Everyone,IBM,,35K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-foundations-for-everyone,2
Microsoft Power BI Data Analyst,Microsoft,,9.1K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,3
Business Foundations,University of Pennsylvania,,26K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/wharton-business-foundations,3
Generative AI Leader,Google Cloud,,1K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/generative-ai-for-leaders,3
Generative AI for Everyone,DeepLearning.AI,,4.9K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-for-everyone,3
Foundations of Project Management,Google,"Skills you'll gain: Project Management Life Cycle, Change Management, Project Management, Organizational Structure, Generative AI Agents, Project Planning, Organizational Skills, Agile Methodology, Waterfall Methodology, Cross-Functional Collaboration, Strategic Thinking",101K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/project-management-foundations,3
AI For Business,University of Pennsylvania,,1.8K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-for-business-wharton,3
IBM Full Stack Software Developer,IBM,,60K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,3
IBM Data Analytics with Excel and R,IBM,"Skills you'll gain: Data Storytelling, Exploratory Data Analysis, Database Design, Data Wrangling, Shiny (R Package), Ggplot2, Data Visualization Software, Data Visualization, Relational Databases, Statistical Visualization, Interactive Data Visualization, Statistical Analysis, Dashboard, Big Data, Microsoft Excel, Data Presentation, Analytical Skills, Excel Formulas, Data Manipulation, Web Scraping",31K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,3
"Foundations: Data, Data, Everywhere",Google,"Skills you'll gain: Data Ethics, Data Analysis, Analytics, Data-Driven Decision-Making, Google Sheets, Business Analytics, Spreadsheet Software, Analytical Skills, Tableau Software, Data Sharing, Data Collection, Data Cleansing, Data Processing, Data Visualization Software, Data Visualization, SQL",122K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/foundations-data,3
Maximize Productivity With AI Tools,Google,,3.2K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/google-maximize-productivity-with-ai-tools,3
Data Science Foundations,Multiple educators,,117K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-science-foundations,3
IBM DevOps and Software Engineering,IBM,,65K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/devops-and-software-engineering,3
Data Analysis and Visualization Foundations,IBM,"Skills you'll gain: Data Storytelling, Data Wrangling, Interactive Data Visualization, Data Visualization Software, Dashboard, Big Data, Data Visualization, Microsoft Excel, Data Analysis, IBM Cognos Analytics, Apache Hadoop, Statistical Analysis, Analytical Skills, Pivot Tables And Charts, Excel Formulas, Apache Hive, Spreadsheet Software, Data Mart, Data Warehousing, Data Cleansing",30K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-analysis-visualization-foundations,4
IBM & Darden Digital Strategy,IBM,,51K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/digital-strategy,4
Data Science Fundamentals with Python and SQL,IBM,,75K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,4
IBM Data Engineering,IBM,,62K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-engineer,4
IBM Relational Database Administrator with GenAI,IBM,,61K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-relational-database-administrator,4
Introduction to Finance and Accounting,University of Pennsylvania,,14K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/finance-accounting,4
IBM RAG and Agentic AI,IBM,,790 reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-rag-and-agentic-ai,4
Generative AI for Product Managers,IBM,,12K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-product-managers,4
